Provider: Robinhood Crypto LLC,,,
Disclaimer: ,,,,
,,,,
,,,,
,,,,
,,,,
ASSET NAME,RECEIVED DATE,COST BASIS(USD),DATE SOLD,PROCEEDS,AMOUNT SOLD,DURATION,NONCOVERED,BASIS REPORTED
BCH,01/14/21,200.04,02/08/21,175.45,0.37,short,true,false
BCH,02/09/21,273.10,03/08/21,285.84,0.56,short,true,false
BCH,02/09/21,192.78,03/08/21,202.82,0.40,short,true,false
BCH,02/09/21,534.29,03/08/21,562.23,1.10,short,true,false
BCH,03/13/21,695.09,03/13/21,716.04,1.28,short,true,false
BCH,03/13/21,808.10,03/13/21,841.23,1.50,short,true,false
BSV,04/27/21,156.11,05/01/21,186.62,0.58,short,true,false
BSV,04/27/21,112.58,05/01/21,134.56,0.42,short,true,false
BSV,04/27/21,0.32,05/01/21,0.37,0.00,short,true,false
BSV,05/06/21,100.03,06/02/21,42.49,0.23,short,true,false
BSV,05/19/21,107.66,06/02/21,138.75,0.77,short,true,false
BSV,05/19/21,96.36,06/02/21,123.30,0.69,short,true,false
BSV,05/19/21,154.46,06/02/21,197.57,1.10,short,true,false
BSV,05/19/21,145.30,06/02/21,185.58,1.03,short,true,false
BSV,10/05/21,737.80,10/07/21,896.00,5.00,short,true,false
BSV,10/20/21,72.31,10/22/21,71.51,0.42,short,true,false
BSV,10/20/21,779.97,10/22/21,771.76,4.58,short,true,false
DOGE,01/29/21,50.01,02/08/21,61.38,784.00,short,true,false
DOGE,02/13/21,91.61,02/26/21,64.43,1301.00,short,true,false
DOGE,02/13/21,792.44,02/26/21,559.72,11254.00,short,true,false
DOGE,02/13/21,257.43,02/26/21,182.17,3656.00,short,true,false
DOGE,02/13/21,408.18,02/26/21,286.00,5740.00,short,true,false
DOGE,02/13/21,516.20,02/26/21,361.99,7259.00,short,true,false
DOGE,02/13/21,447.57,02/26/21,313.96,6294.00,short,true,false
DOGE,05/01/21,499.66,05/01/21,531.15,1483.00,short,true,false
DOGE,05/09/21,23.41,05/09/21,24.02,36.00,short,true,false
DOGE,05/09/21,99.70,05/09/21,102.17,153.00,short,true,false
DOGE,05/09/21,76.09,05/09/21,78.13,117.00,short,true,false
DOGE,05/09/21,99.58,05/09/21,102.18,153.00,short,true,false
DOGE,05/25/21,400.06,06/02/21,427.66,1073.89,short,true,false
DOGE,06/21/21,499.17,06/21/21,490.49,2379.10,short,true,false
DOGE,07/15/21,1642.01,07/21/21,1724.03,8647.00,short,true,false
DOGE,07/15/21,79.82,07/21/21,83.79,420.32,short,true,false
DOGE,07/15/21,1218.08,07/21/21,1278.21,6414.58,short,true,false
DOGE,07/15/21,1634.98,07/21/21,1715.30,8610.00,short,true,false
DOGE,07/15/21,425.19,07/21/21,445.91,2239.13,short,true,false
DOGE,07/28/21,996.51,08/07/21,1149.41,4745.39,short,true,false
DOGE,07/28/21,196.98,08/07/21,227.11,937.61,short,true,false
DOGE,07/28/21,1277.32,08/07/21,1471.68,6080.00,short,true,false
DOGE,07/28/21,575.92,08/07/21,663.14,2741.39,short,true,false
DOGE,07/28/21,305.08,08/07/21,351.02,1451.13,short,true,false
DOGE,07/28/21,1294.63,08/07/21,1489.39,6158.02,short,true,false
DOGE,07/28/21,356.53,08/07/21,410.09,1695.53,short,true,false
DOGE,09/03/21,1000.02,10/05/21,867.83,3311.81,short,true,false
DOGE,09/06/21,518.63,10/05/21,442.37,1688.19,short,true,false
DOGE,09/06/21,96.77,12/17/21,52.32,315.00,short,true,false
DOGE,09/06/21,193.23,12/17/21,104.46,629.00,short,true,false
DOGE,11/14/21,500.00,12/17/21,314.96,1896.53,short,true,false
DOGE,09/06/21,1190.62,12/17/21,643.63,3875.62,short,true,false
DOGE,11/28/21,104.96,12/17/21,85.33,513.85,short,true,false
DOGE,11/28/21,395.11,12/17/21,321.19,1934.23,short,true,false
ETC,01/14/21,323.20,03/05/21,462.88,39.49,short,true,false
ETC,01/14/21,48.35,03/05/21,69.51,5.91,short,true,false
ETC,01/14/21,40.66,03/05/21,58.83,5.00,short,true,false
ETC,01/25/21,209.65,03/05/21,309.22,26.28,short,true,false
ETC,01/25/21,138.88,03/05/21,205.36,17.41,short,true,false
ETC,01/25/21,115.12,03/05/21,170.35,14.43,short,true,false
ETC,01/25/21,39.61,03/05/21,59.02,5.00,short,true,false
ETC,01/26/21,13.66,03/05/21,21.82,1.85,short,true,false
ETC,01/26/21,86.30,03/05/21,137.89,11.68,short,true,false
ETC,05/10/21,41.83,05/10/21,42.01,0.38,short,true,false
ETC,05/10/21,182.70,05/10/21,183.49,1.66,short,true,false
ETC,05/10/21,61.10,05/10/21,61.39,0.56,short,true,false
ETC,05/10/21,15.09,05/10/21,15.18,0.14,short,true,false
ETC,05/19/21,454.43,05/25/21,716.22,9.34,short,true,false
ETC,06/02/21,504.22,06/02/21,500.00,7.23,short,true,false
ETC,06/02/21,495.37,06/02/21,481.54,7.11,short,true,false
ETC,06/16/21,999.76,06/16/21,985.35,17.68,short,true,false
ETC,06/22/21,1000.42,06/22/21,1108.07,29.99,short,true,false
ETC,08/09/21,1492.40,09/05/21,1822.95,25.00,short,true,false
ETC,08/09/21,2569.22,09/07/21,2908.44,43.04,short,true,false
ETC,08/09/21,414.24,09/07/21,470.46,6.96,short,true,false
ETC,08/09/21,1358.45,09/07/21,1322.06,22.83,short,true,false
ETC,08/09/21,1475.08,09/07/21,1435.10,24.79,short,true,false
ETC,08/09/21,1832.70,09/07/21,1781.29,30.80,short,true,false
ETC,09/07/21,1198.13,09/07/21,1405.78,24.31,short,true,false
ETC,08/09/21,869.83,09/07/21,845.27,14.62,short,true,false
ETC,09/07/21,472.43,09/07/21,553.84,9.59,short,true,false
ETC,09/07/21,3611.76,09/07/21,4221.22,73.06,short,true,false
ETC,09/07/21,4344.16,10/01/21,4455.50,87.88,short,true,false
ETC,09/07/21,253.12,10/01/21,258.77,5.12,short,true,false
ETC,09/07/21,1.89,10/06/21,2.11,0.04,short,true,false
ETC,10/05/21,1327.94,10/06/21,1376.31,24.96,short,true,false
ETC,10/11/21,1259.06,10/11/21,1238.57,23.23,short,true,false
ETC,10/05/21,2.04,10/11/21,2.04,0.04,short,true,false
ETC,10/11/21,32.97,10/11/21,32.42,0.61,short,true,false
ETC,10/11/21,60.83,10/11/21,59.78,1.12,short,true,false
ETC,10/15/21,187.16,10/22/21,184.05,3.37,short,true,false
ETC,10/11/21,2.08,10/22/21,2.09,0.04,short,true,false
ETC,10/15/21,1198.63,10/22/21,1179.23,21.59,short,true,false
ETC,10/15/21,2.12,11/09/21,2.45,0.04,short,true,false
ETC,11/09/21,499.89,11/09/21,518.91,8.11,short,true,false
ETH,01/14/21,200.03,03/08/21,276.93,0.16,short,true,false
ETH,03/13/21,124.37,03/13/21,131.78,0.07,short,true,false
ETH,03/13/21,876.52,03/13/21,936.45,0.50,short,true,false
ETH,04/28/21,18.87,05/06/21,24.92,0.01,short,true,false
ETH,04/28/21,300.01,05/06/21,394.69,0.11,short,true,false
ETH,04/28/21,481.29,05/06/21,635.49,0.18,short,true,false
LTC,01/02/21,104.73,03/08/21,148.64,0.79,short,true,false
LTC,01/02/21,262.82,03/08/21,374.71,2.00,short,true,false
LTC,01/02/21,133.52,03/08/21,189.55,1.01,short,true,false
LTC,01/03/21,465.43,03/08/21,564.15,3.01,short,true,false
LTC,05/01/21,118.93,05/06/21,150.26,0.44,short,true,false
LTC,05/01/21,357.88,05/06/21,452.29,1.30,short,true,false
LTC,05/01/21,190.17,05/06/21,242.33,0.70,short,true,false
LTC,05/01/21,236.00,05/06/21,300.00,0.87,short,true,false
LTC,05/07/21,500.00,05/17/21,381.21,1.43,short,true,false
LTC,05/17/21,164.72,05/25/21,107.25,0.61,short,true,false
LTC,05/17/21,536.52,05/25/21,352.22,2.00,short,true,false
LTC,10/05/21,510.60,10/06/21,534.81,3.00,short,true,false
